,Team,Pct.,Assists per Game,CTO per Game,Clears per Game,DCs per Game,Fouls per Game,FPS per Game,GBs per Game,Shots per Game,TO per Game,Yellow Cards per Game
74,North Carolina,0.762,6.81,6.38,16.33,14.62,14.05,5.29,0,30.67,10.14,1.0
99,Stony Brook,0.789,6.95,9.0,15.05,14.89,20.42,5.37,16.16,32.32,10.42,2.0
3,Army West Point,0.789,6.53,5.63,15.37,16.0,11.74,6.32,15.05,33.42,13.0,1.42
64,Marquette,0.789,8.0,8.53,15.47,17.79,22.11,5.47,17.42,35.63,15.63,2.16
95,Southern California,0.8,5.4,10.65,15.7,11.7,30.0,5.1,17.25,28.75,13.8,2.55
37,Florida,0.81,7.67,8.14,15.33,15.14,22.52,6.67,15.05,29.9,11.86,2.1
87,Richmond,0.81,7.48,8.52,13.67,18.71,12.38,4.33,16.67,35.81,13.86,2.38
5,Boston College,0.826,7.65,7.52,15.96,14.22,14.78,5.22,13.35,30.91,13.7,1.48
66,Massachusetts,0.842,8.21,9.79,13.84,15.95,23.0,4.42,19.58,32.32,12.42,2.16
67,Mercer,0.85,5.8,12.3,14.95,16.9,12.4,5.6,16.95,33.35,13.55,1.5
100,Syracuse,0.857,9.1,7.62,17.81,15.95,26.57,3.71,15.52,32.29,12.71,1.81
61,Loyola Maryland,0.864,7.86,6.27,14.59,17.36,17.45,5.0,11.32,30.82,12.77,1.45
50,James Madison,0.864,6.32,8.95,17.23,13.77,23.32,5.05,15.82,30.5,12.5,1.95
75,Northwestern,0.955,8.05,8.27,16.59,16.32,22.45,7.64,15.32,36.32,13.14,2.5
27,Denver,0.957,4.78,12.65,18.35,13.39,25.04,6.09,17.87,28.48,14.17,1.96
